,user.loginStatus,user.id,user.personal.language,classified.id,classified.type,classified.subtype,classified.price,classified.transactionType,classified.zip,classified.visualisationOption,classified.kitchen.type,classified.building.constructionYear,classified.building.condition,classified.energy.heatingType,classified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.atticExists,classified.basementExists,classified.outdoor.garden.surface,classified.outdoor.terrace.exists,classified.specificities.SME.office.exists,classified.wellnessEquipment.hasSwimmingPool,classified.parking.parkingSpaceCount.indoor,classified.parking.parkingSpaceCount.outdoor,classified.condition.isNewlyBuilt,customer.id,customer.name,customer.family,customer.groupInfo.id,customer.groupInfo.name,customer.networkInfo.id,customer.networkInfo.name,screen.name,screen.language
0,logged out,,,9068521,house,house,280000,for sale,9000,xl,,1936,good,,,4,65,,,,,,,,,false,768286,eurobim,agency,,,,,classified details,en
0,logged out,,,9087302,house,house,525000,for sale,9000,xl,,1950,good,,,4,200,,true,40,,,,1,,false,768286,eurobim,agency,,,,,classified details,en
0,logged out,,,9186852,house,house,259000,for sale,9000,xl,,,good,gas,,4,50,true,true,,,,,,,false,3396046,ab immo,agency,,,,,classified details,en
0,logged out,,,9258697,house,house,349900,for sale,9000,xl,installed,1957,good,,448,2,120,,true,,,,,,,false,1739,agence rosseel,agency,,,,,classified details,en
0,logged out,,,9291532,house,house,319000,for sale,9000,xl,,2015,,,,3,120,,true,30,,,,1,,false,768286,eurobim,agency,,,,,classified details,en
0,logged out,,,9328477,house,house,775000,for sale,9000,xl,installed,,,,180,2,89,,,,,true,,,,false,1890498,carlo eggermont,agency,,,,,classified details,en
0,logged out,,,9372936,house,house,299000,for sale,9000,xl,,1899,to be done up,,,4,66,,true,9,,,,,,false,768286,eurobim,agency,,,,,classified details,en
0,logged out,,,9382442,house,house,299000,for sale,9000,xl,,1932,to be done up,,,3,136,,,,,,,,,false,768286,eurobim,agency,,,,,classified details,en
0,logged out,,,9394659,house,house,330000,for sale,9000,xl,,2015,good,,,3,136,,,4,,,,,,false,768286,eurobim,agency,,,,,classified details,en
0,logged out,,,9405013,house,house,795000,for sale,9000,xl,,,to be done up,gas,474,4,117,,true,,true,true,,,,false,3666726,found &amp; baker properties gent,agency,,,,,classified details,en
0,logged out,,,9437330,house,house,455000,for sale,9000,xl,,1899,,,194,4,139,,,,,,,,,false,768286,eurobim,agency,,,,,classified details,en
0,logged out,,,9559136,house,house,497500,for sale,9000,xl,,,just renovated,,287,3,250,,true,,true,,,,,false,3735880,the rock real estate consultancy,agency,,,,,classified details,en
0,logged out,,,9560574,house,house,315000,for sale,9000,xl,,1900,to be done up,,,5,77,,true,10,,,,,,false,768286,eurobim,agency,,,,,classified details,en
0,logged out,,,9592152,house,house,379000,for sale,9000,xl,installed,,good,gas,,4,90,true,true,,,,,,,false,3396046,ab immo,agency,,,,,classified details,en
0,logged out,,,9596256,house,house,509500,for sale,9000,xl,installed,2022,,,,3,171,,,,true,true,,,,false,3141836,oryx projects nv,property_developer,,,,,classified details,en
0,logged out,,,9596264,house,house,469000,for sale,9000,xl,,2021,,,,4,168,,true,,true,,,,,false,3141836,oryx projects nv,property_developer,,,,,classified details,en
0,logged out,,,9605831,house,house,235000,for sale,9000,xl,semi equipped,,to be done up,gas,327,3,55,,true,,,,,,,false,1151373,century 21 hipp-o-droom,agency,,,,,classified details,en
0,logged out,,,9610584,house,house,700000,for sale,9000,xl,,,as new,,192,6,229,,,,,true,,,,false,2391209,vastgoed spruyt,agency,,,,,classified details,en
0,logged out,,,9627099,house,house,385000,for sale,9000,xl,installed,,,gas,180,2,0,,,,true,,,,,false,1151373,century 21 hipp-o-droom,agency,,,,,classified details,en
0,logged out,,,9629070,house,house,875000,for sale,9000,xl,,1971,,,516,4,434,,,,,,,,,false,1890498,carlo eggermont,agency,,,,,classified details,en
0,logged out,,,9635908,house,house,389000,for sale,9000,xl,,1996,,,419,3,370,,,300,,,,1,,false,1890498,carlo eggermont,agency,,,,,classified details,en
0,logged out,,,9644129,house,house,320000,for sale,9000,xl,,,good,gas,234,4,42,,,,,,,,,false,1739,agence rosseel,agency,,,,,classified details,en
0,logged out,,,9644468,house,house,299000,for sale,9000,xl,semi equipped,,to be done up,gas,353,4,55,,,,,,,,,false,1151373,century 21 hipp-o-droom,agency,,,,,classified details,en
0,logged out,,,9644469,house,house,349000,for sale,9000,xl,installed,,to be done up,gas,261,6,102,,,,,,,,,false,1151373,century 21 hipp-o-droom,agency,,,,,classified details,en
0,logged out,,,9647357,house,house,275000,for sale,9000,xl,installed,,good,gas,247,2,39,,,,,,,,,false,3264124,immo langeveld,agency,,,,,classified details,en
0,logged out,,,9649726,house,house,300000,for sale,9000,xl,,,,,341,2,77,,,,true,true,,,,false,719293,bonny filip nv,agency,,,,,classified details,en
0,logged out,,,9658405,house,house,279000,for sale,9000,xl,installed,,just renovated,gas,,3,87,true,,,true,,,,,false,3396046,ab immo,agency,,,,,classified details,en
0,logged out,,,9679661,house,house,430000,for sale,9000,xl,usa hyper equipped,,as new,gas,151,3,67,,true,,true,,,,,false,1184820,react gent,agency,,,,,classified details,en
0,logged out,,,9682562,house,house,469000,for sale,9000,xl,,2021,,,,4,168,,true,,true,,,,,false,3141836,oryx projects nv,property_developer,,,,,classified details,en
0,logged out,,,9687859,house,house,405000,for sale,9000,xl,,,,,558,3,107,,true,,,,,,,false,3502094,uplife vastgoedondernemers,agency,,,,,classified details,en
0,logged out,,,9691195,house,house,950000,for sale,9000,xl,installed,1952,good,gas,514,2,527,,,,true,,,,,false,3835654,convas,agency,,,,,classified details,en
0,logged out,,,9695761,house,house,340000,for sale,9000,xl,installed,,good,gas,359,4,0,,true,,true,,,1,,false,7860,cannoodt,agency,,,,,classified details,en
0,logged out,,,9696099,house,house,550000,for sale,9000,xl,installed,,good,fueloil,491,4,205,,true,,,,,,,false,3835654,convas,agency,,,,,classified details,en
0,logged out,,,9702228,house,house,495000,for sale,9000,xl,,,as new,,,4,196,,true,,true,true,,,1,false,1379660,pdg,real_estate_agency,,,,,classified details,en
0,logged out,,,9708326,house,house,570000,for sale,9000,xl,installed,1962,to be done up,,378,5,127,true,true,,true,,,1,1,false,288460,de scheldegalm,agency,,,,,classified details,en
