classified.price,classified.zip,classified.kitchen.type,classified.building.constructionYear,classified.building.condition,classified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.atticExists,classified.basementExists,classified.outdoor.garden.surface,classified.outdoor.terrace.exists,classified.specificities.SME.office.exists,classified.wellnessEquipment.hasSwimmingPool,classified.parking.parkingSpaceCount.indoor,classified.parking.parkingSpaceCount.outdoor,carbon,electric,fueloil,gas,pellet,wood
497000.0,9700,4.0,1990.0,6.0,108.0,4,338.0,0,0,185.0,0,0,0,0,0,0,0,0,1,0,0
174000.0,4102,3.0,1956.0,3.0,271.0,4,252.0,0,1,0.0,1,0,0,1,0,0,0,0,1,0,0
439000.0,2870,2.0,1984.0,5.0,141.0,4,370.0,0,0,240.0,1,0,0,0,2,0,0,0,1,0,0
430000.0,4610,2.0,2016.0,5.0,117.0,4,0.0,0,0,115.0,1,0,0,0,3,0,0,0,1,0,0
2400000.0,7380,2.0,2003.0,7.0,196.0,0,0.0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0
649000.0,1640,2.0,1974.0,5.0,355.0,7,805.0,0,1,0.0,0,0,0,9,0,0,0,0,1,0,0
950000.0,1060,1.0,1910.0,1.0,346.0,11,130.0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0
2200000.0,1060,1.0,1870.0,1.0,334.0,15,408.0,0,1,111.0,0,0,0,0,0,0,0,0,1,0,0
725000.0,1060,3.0,1910.0,5.0,272.0,4,0.0,0,1,0.0,1,0,0,0,0,0,0,0,1,0,0
645000.0,1060,3.0,1907.0,5.0,380.0,4,96.0,1,1,0.0,1,0,0,0,0,0,0,0,1,0,0
795000.0,1030,2.0,1900.0,5.0,260.0,0,160.0,0,0,0.0,0,0,0,2,1,0,0,0,1,0,0
599000.0,1030,4.0,1900.0,5.0,976.0,6,172.0,1,1,73.0,1,1,0,0,0,0,1,0,0,0,0
850000.0,1030,1.0,1908.0,1.0,999.0,7,160.0,0,1,30.0,1,0,0,0,0,0,0,0,1,0,0
1095000.0,1030,1.0,1920.0,1.0,843.0,7,170.0,0,0,80.0,1,0,0,0,0,0,0,0,1,0,0
1250000.0,1030,3.0,1850.0,5.0,406.0,17,393.0,0,1,0.0,1,0,0,0,3,0,0,0,1,0,0
610000.0,1030,1.0,1910.0,3.0,248.0,8,140.0,0,0,35.0,1,0,0,0,0,0,0,0,1,0,0
799000.0,1030,2.0,1909.0,5.0,302.0,6,120.0,0,1,0.0,1,0,0,0,0,0,0,0,1,0,0
975000.0,1030,2.0,1950.0,5.0,186.0,7,268.0,1,1,0.0,1,1,0,1,0,0,0,0,1,0,0
560000.0,1030,2.0,1931.0,3.0,457.0,5,0.0,1,1,32.0,1,1,0,0,0,0,0,0,1,0,0
179000.0,4100,1.0,1939.0,3.0,153.0,5,253.0,0,1,160.0,1,1,0,0,0,0,0,0,1,0,0
1169000.0,1080,4.0,1918.0,7.0,264.0,8,195.0,0,0,95.0,1,0,0,0,0,0,0,0,1,0,0
1050000.0,1200,2.0,1908.0,5.0,255.0,5,170.0,0,1,53.0,0,0,0,0,2,0,0,0,1,0,0
285000.0,7500,3.0,1900.0,5.0,482.0,5,165.0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0
1380000.0,1180,4.0,2021.0,7.0,56.0,6,0.0,0,0,122.0,1,0,0,2,2,0,0,0,1,0,0
