classified.price,classified.building.constructionYear,classified.building.condition,classified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.outdoor.garden.surface
2699000.0,1820.0,5.0,327.0,4,4997.0,4000.0
850000.0,1876.0,7.0,201.0,5,76.0,0.0
1820000.0,1908.0,5.0,325.0,4,350.0,220.0
849000.0,1907.0,1.0,613.0,5,5423.0,5203.0
399000.0,1949.0,7.0,619.0,4,1146.0,0.0
495000.0,2006.0,7.0,173.0,4,1580.0,0.0
820000.0,2003.0,7.0,218.0,3,10000.0,0.0
299999.0,1900.0,5.0,387.0,4,299.0,0.0
4950000.0,1968.0,7.0,484.0,6,4895.0,0.0
1195000.0,1906.0,1.0,559.0,5,235.0,90.0
1950000.0,1800.0,7.0,671.0,6,3788.0,3788.0
1350000.0,1842.0,5.0,301.0,12,311.0,0.0
495000.0,1891.0,5.0,284.0,6,4432.0,4432.0
975000.0,1854.0,5.0,541.0,5,2283.0,0.0
720000.0,1835.0,3.0,370.0,4,3116.0,2900.0
480000.0,1930.0,1.0,792.0,4,19522.0,0.0
490000.0,1982.0,7.0,415.0,4,4890.0,4890.0
239000.0,1962.0,5.0,358.0,3,0.0,0.0
480000.0,1973.0,5.0,770.0,2,7800.0,0.0
1185000.0,2008.0,7.0,199.0,4,1254.0,1000.0
1185000.0,2008.0,7.0,199.0,4,1254.0,1000.0
495000.0,1924.0,1.0,504.0,4,1322.0,0.0
2350000.0,1928.0,7.0,268.0,5,170.0,0.0
1195000.0,1906.0,1.0,559.0,5,235.0,90.0
2750000.0,1874.0,7.0,203.0,6,690.0,500.0
3950000.0,1910.0,7.0,210.0,5,340.0,0.0
4700000.0,1906.0,7.0,208.0,10,630.0,400.0
750000.0,1814.0,7.0,223.0,5,769.0,0.0
1775000.0,1936.0,7.0,179.0,8,350.0,0.0
4290000.0,1928.0,5.0,484.0,5,925.0,0.0
5850000.0,1959.0,5.0,264.0,6,1629.0,0.0
945000.0,2012.0,7.0,76.0,4,477.0,0.0
1850000.0,1991.0,7.0,184.0,6,2471.0,0.0
1850000.0,1989.0,7.0,184.0,6,2471.0,0.0
2450000.0,2004.0,7.0,236.0,8,3000.0,0.0
2750000.0,2000.0,7.0,166.0,7,15300.0,0.0
1680000.0,2014.0,7.0,54.0,6,2400.0,0.0
645000.0,2005.0,7.0,181.0,5,2256.0,2000.0
695000.0,1976.0,3.0,97.0,4,506.0,0.0
995000.0,1930.0,1.0,378.0,10,5200.0,4250.0
550000.0,1900.0,5.0,368.0,6,575.0,0.0
529000.0,1921.0,5.0,184.0,3,151.0,14.0
1500000.0,2000.0,5.0,144.0,6,2930.0,0.0
395000.0,1964.0,5.0,351.0,3,1438.0,0.0
575000.0,1783.0,6.0,424.0,5,3165.0,0.0
325000.0,2005.0,5.0,262.0,4,863.0,560.0
3250000.0,1960.0,7.0,105.0,5,2003.0,1800.0
2600000.0,1977.0,7.0,314.0,6,4970.0,0.0
595000.0,1934.0,1.0,548.0,4,1826.0,0.0
4950000.0,1968.0,7.0,260.0,6,5000.0,3500.0
850000.0,1876.0,7.0,201.0,5,76.0,0.0
845000.0,1886.0,7.0,338.0,6,132.0,0.0
739000.0,1850.0,5.0,236.0,9,320.0,1.0
1875000.0,1992.0,5.0,138.0,6,1489.0,1300.0
895000.0,1800.0,7.0,175.0,9,304.0,76.0
3450000.0,1970.0,5.0,140.0,5,0.0,0.0
1480000.0,1855.0,5.0,237.0,12,4130.0,3460.0
675000.0,1850.0,5.0,239.0,4,676.0,0.0
1125000.0,1991.0,7.0,215.0,6,1500.0,0.0
1950000.0,1800.0,7.0,671.0,6,3788.0,3788.0
1095000.0,1992.0,7.0,237.0,5,3240.0,0.0
1650000.0,1968.0,5.0,374.0,7,2187.0,0.0
1295000.0,1930.0,1.0,476.0,10,650.0,400.0
3380000.0,2005.0,7.0,159.0,7,1390.0,0.0
2985000.0,1955.0,7.0,147.0,6,1270.0,0.0
640000.0,2019.0,7.0,59.0,5,1086.0,906.0
